ASIN,Seller_canada,priceTotal_canada,Condition_canada,Seller_usa,priceTotal_usa,Condition_usa,is_FBA_usa,lowestPriceFloorusa,US_ConvertedPriceTo_CAD,ProfitFactor,PF_10pctBelow,PF_15pctBelow
0131465325,fakeDict,-99.0,something wrong happened,FlippingPages,44.32,Used - Good,True,44.32,58.945600000000006,-1.45,-1.4,-1.38
0921145322,Amazon,71.71,New,Amazon,54.0,New,False,54.0,71.82000000000002,-0.25,-0.32,-0.36
1118583191,fakeDict,-99.0,something wrong happened,Perpetual Textbooks,143.83,Used - Very Good,True,143.83,191.29390000000004,-2.45,-2.31,-2.23
0134421353,Second Bind,172.54,Used - Like New,The Great Books,106.0,Used - Very Good,True,106.0,140.98000000000005,-0.39,-0.45,-0.48
1305270339,Textbooks for Change,67.78999999999999,Used - Good,M&S Pure Brands,71.52,Used - Very Good,True,71.52,95.1216,0.06,-0.05,-0.1
1259544877,Amazon,223.39,New,Clean Earth Books,54.99,Used - Acceptable,True,54.99,73.1367,-0.75,-0.78,-0.79
019069081X,Amazon,109.95,New,Perpetual Textbooks,79.31,Used - Very Good,True,79.31,105.4823,-0.28,-0.35,-0.39
1401259103,Labyrinth Oakville Ontario,81.49,New,Amazon,55.85,New,False,55.85,74.2805,-0.31,-0.38,-0.42
1107608074,Amazon,160.73,New,Amazon,126.84,New,False,126.84,168.6972,-0.21,-0.29,-0.33
1462513921,Amazon,105.78,New,Amazon,63.81,New,False,63.81,84.86730000000001,-0.4,-0.46,-0.49
1878348337,Amazon,111.98,New,RentU,89.66,Used - Good,True,89.66,119.2478,-0.2,-0.28,-0.32
1617159883,Amazon,94.89,New,Amazon,72.21,New,False,72.21,96.0393,-0.24,-0.32,-0.35
1319013384,DotionMayo,139.99,New,Unleash-Inc,121.77,New,True,121.77,161.9541,-0.13,-0.22,-0.26
1107034736,Amazon,97.95,New,Amazon,58.19,New,False,58.19,77.3927,-0.41,-0.47,-0.5
0804788049,Amazon,94.28,New,Amazon,75.0,New,False,75.0,99.75,-0.2,-0.28,-0.32
013404228X,Second Bind,159.63,Used - Like New,Mega Discount Books,97.0,Used - Acceptable,True,97.0,129.01000000000002,-0.39,-0.45,-0.48
0393664945,Amazon,94.95,New,Perpetual Textbooks,73.21,Used - Very Good,True,73.21,97.3693,-0.23,-0.31,-0.34
